
||Pattern ID||Pattern Name||Rule ID||Role||See||Diagnostics||Rule Text ||
|| 00000 || sanity-check ||  ||  ||  || id || This assertion should always fail. ||
|| 00001 || check-id ||  || error ||  || id || ID needs to be unique. ||
|| 00002 || check-idref ||  || error ||  || target || An arc target should be a glyph defined in the diagram. ||
|| pd10101 || check-consumption || check-consumption-source-class || error || sbgn-pd-L1V1.3-3.4.1 || source class || Arc with class consumption must have source reference to glyph of EPN classes and target reference to port on glyph of PN classes ||
|| pd10101 || check-consumption || check-consumption-target-class || error || sbgn-pd-L1V1.3-3.4.1 || target port-class || Arc with class consumption must have target reference to port on glyph with PN classes and source reference to glyph of EPN classes ||
|| pd10102 || check-production || check-production-source-class || error || sbgn-pd-L1V1.3-3.4.1 || source port-class || Arc with class production must have source reference to port on glyph with PN classes and target reference to glyph of EPN classes ||
|| pd10102 || check-production || check-production-target-class || error || sbgn-pd-L1V1.3-3.4.1 || target class || Arc with class production must have target reference to glyph of EPN classes and source reference to port on glyph of PN classes ||
|| pd10103 || check-modulation || check-modulation-source-class || error || sbgn-pd-L1V1.3-3.4.1 || source port-class class || Arc with class modulation must have source reference to glyph of EPN classes or a logical operator and target reference to port on glyph of PN classes ||
|| pd10103 || check-modulation || check-modulation-target-class || error || sbgn-pd-L1V1.3-3.4.1 || target port-class || Arc with class modulation must have target reference to port on glyph with PN classes and source reference to glyph of EPN classes ||
|| pd10104 || check-stimulation || check-stimulation-source-class || error || sbgn-pd-L1V1.3-3.4.1 || source port-class class || Arc with class stimulation must have source reference to glyph of EPN classes or a logical operator and target reference to port on glyph of PN classes ||
|| pd10104 || check-stimulation || check-stimulation-target-class || error || sbgn-pd-L1V1.3-3.4.1 || target port-class || Arc with class stimulation must have target reference to port on glyph with PN classes and source reference to glyph of EPN classes ||
|| pd10105 || check-catalysis || check-catalysis-source-class || error || sbgn-pd-L1V1.3-3.4.1 || source port-class class || Arc with class catalysis must have source reference to glyph of EPN classes or a logical operator and target reference to port on glyph of PN classes ||
|| pd10105 || check-catalysis || check-catalysis-target-class || error || sbgn-pd-L1V1.3-3.4.1 || target port-class || Arc with class catalysis must have target reference to port on glyph with PN classes and source reference to glyph of EPN classes ||
|| pd10106 || check-inhibition || check-inhibition-source-class || error || sbgn-pd-L1V1.3-3.4.1 || source port-class class || Arc with class inhibition must have source reference to glyph of EPN classes or a logical operator and target reference to port on glyph of PN classes ||
|| pd10106 || check-inhibition || check-inhibition-target-class || error || sbgn-pd-L1V1.3-3.4.1 || target port-class || Arc with class inhibition must have target reference to port on glyph with PN classes and source reference to glyph of EPN classes ||
|| pd10107 || check-necessary-stimulation || check-necessary-stimulation-source-class || error || sbgn-pd-L1V1.3-3.4.1 || source port-class class || Arc with class necessary stimulation must have source reference to glyph of EPN classes or a logical operator and target reference to port on glyph of PN classes ||
|| pd10107 || check-necessary-stimulation || check-necessary-stimulation-target-class || error || sbgn-pd-L1V1.3-3.4.1 || target port-class || Arc with class necessary stimulation must have target reference to port on glyph with PN classes and source reference to glyph of EPN classes ||
|| pd10108 || check-logic-arc || check-logic-arc-source-class || error || sbgn-pd-L1V1.3-3.4.1 || source class || Arc with class logic arc must have source reference to glyph of EPN classes and target reference to port on glyph of PN classes ||
